fecha,variedad,fundo,codigo_original_muestra,codigo_corto,muestreo,GDA,BEDD_acum,IFN_acum,IFs_acum,HEP_acum,STa_acum,Hef_acum,IE_acum,VPD_medio_acum,IFTT_acum,PTQ_acum,peso_baya,rendimiento(ton/ha),gramos_de_azucar/baya,azucar_real_baya_g,Peonidina-3-O-coumarilglucósido(mgEqMv/Kg)
2025-03-21,Cabernet Sauvignon,IDAHUE,CS25IDAC36-H62/76-8,CS25IDA,8,1697.666721098023,1451.1,640.7999999999998,48842.5,1060,347,849,6538.483275,1.359158244601445,131.5,152.6899573162816,1.65,16.8529650690496,0.38939999999999997,0.3645017712780452,12.36938759289019
2025-03-28,Cabernet Sauvignon,IDAHUE,CS25IDAC36-H62/76-9,CS25IDA,9,1745.23937815328,1493.25,686.7,64209.6,1102,350,888,6658.80906875,1.345637579940148,147.1,168.2154953437819,1.35,16.8529650690496,0.3267,0.3062165103999838,12.08711913065676
2025-04-04,Cabernet Sauvignon,IDAHUE,CS25IDAC36-H62/76-10,CS25IDA,10,1789.822625609538,1530.3,723.0,80174.4,1139,353,932,6765.555343749999,1.331639273490731,161.3,186.5458336373942,1.46,16.8529650690496,0.36207999999999996,0.3398969724356078,10.25916632486586
2025-04-11,Cabernet Sauvignon,IDAHUE,CS25IDAC36-H62/76-11,CS25IDA,11,1823.760992066525,1559.9,772.4,97388.5,1184,353,971,6803.391975,1.306159623587371,173.7,197.8420294114204,1.53,16.8529650690496,0.38709000000000005,0.3637009649201912,11.04325695273646
2025-03-19,Cabernet Sauvignon,KEULE,CS25KEUC3-H1/7-7,CS25KEU,7,1540.885600780533,1274.6,528.7,73035.0,1097,296,839,5444.816931249999,1.197283494995125,102.6,172.2729379701956,1.62,15.3362369337979,0.37908000000000003,0.3545754794498634,14.05234349954208
2025-03-26,Cabernet Sauvignon,KEULE,CS25KEUC3-H1/7-8,CS25KEU,8,1592.025119937224,1318.45,570.5,90003.2,1144,300,872,5580.2429,1.189337013543804,117.1,190.6413316263064,1.58,15.3362369337979,0.37920000000000004,0.3553459689852181,13.95301952072055
2025-04-02,Cabernet Sauvignon,KEULE,CS25KEUC3-H1/7-9,CS25KEU,9,1626.547010597551,1345.2,608.5,108656.1,1184,300,916,5610.138306250001,1.17150588917965,131.2,205.7522896258154,1.55,15.3362369337979,0.38595,0.3623001225790812,15.4104635244656
2025-04-10,Cabernet Sauvignon,KEULE,CS25KEUC3-H1/7-10,CS25KEU,10,1675.160438166055,1387.5,657.8000000000001,132819.7,1237,301,958,5691.8745,1.152401156348677,147.0,224.1893017130928,1.59,15.3362369337979,0.39591,0.3716498031617672,14.48878409159692
2025-03-17,Cabernet Sauvignon,LOURDES,CS25LOUC207-H58/61-7,CS25LOU,7,1618.913057402116,1323.23,523.4199999999998,72423.99999999999,1105,340,763,6930.035208,1.496375243014636,94.7,163.9453144758409,1.79,10.1285140562249,0.41528,0.3882097534953216,13.73709675004229
2025-03-24,Cabernet Sauvignon,LOURDES,CS25LOUC207-H58/61-8,CS25LOU,8,1679.379961161667,1377.04,568.48,91758.03,1146,352,794,7175.8282569375,1.492509220099003,106.9,183.7569042758429,1.91,10.1285140562249,0.44884999999999997,0.4200472555434387,12.99952667320052
2025-03-31,Cabernet Sauvignon,LOURDES,CS25LOUC207-H58/61-9,CS25LOU,9,1718.840399623383,1408.805,604.4999999999999,111441.92,1193,352,831,7246.072317624999,1.473243959658353,120.6,201.2004178457267,2.1,10.1285140562249,0.49560000000000004,0.4639113452629667,11.5601803286783
2025-04-07,Cabernet Sauvignon,LOURDES,CS25LOUC207-H58/61-10,CS25LOU,10,1762.103909860963,1440.73,628.9300000000001,134635.17,1236,355,869,7355.085249375001,1.456497049097376,134.8,216.4732035496737,1.76,10.1285140562249,0.43119999999999997,0.4045244774228577,12.3138677812974
