fecha,variedad,fundo,codigo_original_muestra,codigo_corto,muestreo,GDA,BEDD_acum,IFN_acum,IFs_acum,HEP_acum,STa_acum,Hef_acum,IE_acum,VPD_medio_acum,IFTT_acum,PTQ_acum,peso_baya,rendimiento(ton/ha),gramos_de_azucar/baya,azucar_real_baya_g,Peonidina-3-O-coumarilglucósido(mgEqMv/Kg)
2025-04-01,Cabernet Sauvignon,NILAHUE,CS25NILC2-H61/64-9,CS25NIL,9,1542.715169271054,1376.25,786.2000000000002,49480.10000000001,1293,153,942,3472.1894,0.9826585508156044,164.2,206.6806749101958,2.11,9.54808935920047,0.5042899999999999,0.4723253899522512,16.68703255252965
2025-04-08,Cabernet Sauvignon,NILAHUE,CS25NILC2-H61/64-9,CS25NIL,10,1587.278010742099,1416.0,835.8,62676.80000000002,1341,153,978,3544.2422875,0.9750770327015379,178.5,223.0528988194106,1.7,9.54808935920047,0.40629999999999994,0.3805465227103446,16.31220132954643
2025-04-15,Cabernet Sauvignon,NILAHUE,CS25NILC2-H61/64-9,CS25NIL,11,1619.871946532115,1444.25,885.7,77715.0,1385,153,1018,3556.9840375,0.9616532535589126,191.7,235.3222317001663,1.62,9.54808935920047,0.39527999999999996,0.3706672401321577,16.12195284699325
2025-04-30,Cabernet Sauvignon,NILAHUE,CS25NILC2-H61/64-9,CS25NIL,12,1694.764458868157,1512.7,1008.8,108059.8,1472,153,1111,3601.58308125,0.9345718732543205,222.4,257.736244748466,1.71,9.54808935920047,0.42066000000000003,0.3947105643994211,14.24377420387688
2025-03-18,Carmenere,LOURDES,CA25LOUC171-H58/63-5,CA25LOU,5,1629.001661346266,1332.23,529.5799999999998,75229.07999999999,1110,343,767,6982.132994375,1.497618838247456,96.10000000000001,166.3438306492025,2.46,10.3506493506494,0.5805600000000001,0.5434390044509038,18.62893468459124
2025-03-25,Carmenere,LOURDES,CA25LOUC171-H58/63-6,CA25LOU,6,1684.872772617398,1381.47,573.7,94436.18000000001,1153,352,799,7179.779174374999,1.488688149343845,108.9,186.0314765727024,2.28,10.3506493506494,0.54036,0.5058466780708631,20.29341868571209
2025-04-01,Carmenere,LOURDES,CA25LOUC171-H58/63-7,CA25LOU,7,1723.767895650765,1411.275,605.6399999999999,114656.1,1199,352,837,7253.991917750001,1.470403479436976,122.6,202.8124250096937,1.97,10.3506493506494,0.48068,0.4507496685557721,19.80349061300977
2025-04-15,Carmenere,LOURDES,CA25LOUC171-H58/63-9,CA25LOU,9,1796.620139952427,1458.295,648.8399999999999,162074.82,1284,357,915,7392.9529410625,1.426979123365789,148.7,224.1046787940027,2.16,10.3506493506494,0.5421600000000001,0.5092445166531275,15.01630037297814
2025-04-03,Carmenere,PEUMO,CA25PEUC93-H269/271-8,CA25PEU,8,2013.760146411439,1623.8,875.4,37250.8,1168,516,728,8504.1957,1.604347201355806,173.7,143.2599122615978,2.45,10.93,0.5831000000000001,0.5461245235069887,20.05424059642416
2025-04-17,Carmenere,PEUMO,CA25PEUC93-H269/271-9,CA25PEU,9,2104.104993660567,1709.25,999.4000000000001,58326.39999999999,1261,521,798,8650.1981,1.557953317245215,204.8,169.2513936167969,1.87,10.93,0.44693,0.4186011749813791,16.37558527051666
2025-04-30,Carmenere,PEUMO,CA25PEUC93-H269/271-10,CA25PEU,10,2173.235347749808,1773.9,1112.1,85423.8,1340,521,875,8723.203700000002,1.507077653704085,230.2,186.2042529141645,2.05,10.93,0.5186499999999999,0.4873117503832627,16.44143775004973
2025-05-06,Carmenere,PEUMO,CA25PEUC93-H269/271-11,CA25PEU,11,2204.307132222628,1801.5,1155.5,99600.0,1380,521,907,8746.5272,1.486034156421074,242.0,196.1566170871077,2.49,10.93,0.61005,0.572310198172111,16.06082925458659
2025-03-17,Carmenere,VILLA ALEGRE,CA25VALC13-H1/15-4,CA25VAL,4,1817.104508426204,1436.75,725.0000000000002,10043.2,1144,394,670,6603.5754,1.433203414474077,126.8,134.4879947264833,2.26,11.8133198789102,0.56726,0.5328206516833648,22.99405687787525
2025-03-24,Carmenere,VILLA ALEGRE,CA25VALC13-H1/15-5,CA25VAL,5,1885.767717994922,1495.15,797.4,15240.5,1194,403,695,6801.9266,1.427520891389317,143.7,150.0259793084454,2.23,11.8133198789102,0.57088,0.5366621633792668,24.81075503144335
2025-03-31,Carmenere,VILLA ALEGRE,CA25VALC13-H1/15-6,CA25VAL,6,1932.108498578723,1539.1,853.7,25513.6,1246,403,727,6876.6126,1.410575273684429,159.4,170.5804822673506,2.31,11.8133198789102,0.60522,0.56935965093819,21.28934015939421
2025-04-04,Carmenere,VILLA ALEGRE,CA25VALC13-H1/15-7,CA25VAL,7,1959.666450619883,1563.85,879.8,33140.1,1269,406,749,6937.127999999999,1.401368175769902,167.8,179.676586589537,2.08,11.8133198789102,0.50752,0.4759184317746223,18.57182122812305
