fundo,Fundo,temporada,variedad,biofix_tipo,biofix_fecha,t0_operativo,t0_latitudinal,fecha_brotacion_ELP4,fecha_inicio_ventana,fecha_fin_ventana,fecha_fondo_valle,metrica_valle,valor_minimo_valle,dias_biofix_vs_valle,gdd_entre_biofix_y_t0,gdd_entre_biofix_y_brotacion,gdd_previo_a_t0_desde_inicio_ventana,actividad_termica_en_biofix,diagnostico_valle,comentario_metodologico,fuente_clima,archivo_origen
idahue,Idahue,2025_2026,cabernet_sauvignon,1_mayo,2025-05-01,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,-54,201.51,271.91,1283.6,12.56,anterior_al_valle,Biofix (2025-05-01) precede al fondo invernal (2025-06-24) en 54 días; arrastra 201.5 GDD de calor otoñal previo a T0.,Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,15_mayo,2025-05-15,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,-40,154.57,224.98,1283.6,11.58,anterior_al_valle,Biofix (2025-05-15) precede al fondo invernal (2025-06-24) en 40 días; arrastra 154.6 GDD de calor otoñal previo a T0.,Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,1_junio,2025-06-01,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,-23,113.84,184.24,1283.6,8.83,anterior_al_valle,Biofix (2025-06-01) precede al fondo invernal (2025-06-24) en 23 días; arrastra 113.8 GDD de calor otoñal previo a T0.,Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,solsticio_invierno,2025-06-21,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,-3,85.23,155.64,1283.6,6.62,cercano_al_valle,"Biofix (2025-06-21) cae en la ventana fisiológica del fondo térmico invernal (2025-06-24, -3d).",Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,1_julio,2025-07-01,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,7,80.34,150.74,1283.6,7.53,cercano_al_valle,"Biofix (2025-07-01) cae en la ventana fisiológica del fondo térmico invernal (2025-06-24, +7d).",Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,38,20.61,91.01,1283.6,10.79,posterior_al_valle,Biofix (2025-08-01) posterior al fondo invernal (2025-06-24) en 38 días; omite calentamiento temprano.,Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,52,-14.44,55.97,1283.6,11.25,posterior_al_valle,Biofix (2025-08-15) posterior al fondo invernal (2025-06-24) en 52 días; omite calentamiento temprano.,Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,69,-55.59,14.81,1283.6,11.27,posterior_al_valle,Biofix (2025-09-01) posterior al fondo invernal (2025-06-24) en 69 días; omite calentamiento temprano.,Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,t0_operativo,2025-08-11,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,48,0.0,70.4,1283.6,11.38,posterior_al_valle,Biofix (2025-08-11) posterior al fondo invernal (2025-06-24) en 48 días; omite calentamiento temprano.,Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
idahue,Idahue,2025_2026,cabernet_sauvignon,t0_latitudinal,2025-08-20,2025-08-11,2025-08-20,2025-09-05,2024-12-31,2026-05-18,2025-06-24,promedio_movil_14d_temp_media,5.66,57,-28.09,42.31,1283.6,10.31,posterior_al_valle,Biofix (2025-08-20) posterior al fondo invernal (2025-06-24) en 57 días; omite calentamiento temprano.,Zentra,data/processed/phenology_climate/idahue_cabernet_sauvignon_2025_2026.xlsx
