fundo,temporada,variedad,biofix_tipo,biofix_fecha,fecha_brotacion_ELP4,gdd_acumulado_a_brotacion,gdd_acumulado_previo_t0,gdd_entre_biofix_y_t0,dias_biofix_vs_valle,diagnostico_valle,threshold_GDD_usado,alerta_temporada_anterior,diagnostico_biofix
keule,2025_2026,cabernet_sauvignon,15_julio,2025-07-15,2025-09-22,173.608349495121,166.02899652618746,102.60337762536737,19,cercano_al_valle,71.00497186975362,SI: Acumulación térmica previa a t0 (102.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,cabernet_sauvignon,1_agosto,2025-08-01,2025-09-22,137.5677385878784,166.02899652618746,66.56276671812478,36,posterior_al_valle,71.00497186975362,SI: Acumulación térmica previa a t0 (66.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,cabernet_sauvignon,15_agosto,2025-08-15,2025-09-22,106.33414407231325,166.02899652618746,35.329172202559626,50,posterior_al_valle,71.00497186975362,SI: Acumulación térmica previa a t0 (35.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,cabernet_sauvignon,1_septiembre,2025-09-01,2025-09-22,62.97119115593025,166.02899652618746,-8.033780713823386,67,posterior_al_valle,71.00497186975362,NO,OK
idahue,2025_2026,carmenere,15_julio,2025-07-15,2025-09-19,184.1805899393249,1283.5965276891986,57.04072634830729,21,cercano_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (57.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
idahue,2025_2026,carmenere,1_agosto,2025-08-01,2025-09-19,147.7450110102074,1283.5965276891986,20.605147419189734,38,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (20.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
idahue,2025_2026,carmenere,15_agosto,2025-08-15,2025-09-19,112.70436221691831,1283.5965276891986,-14.435501374099363,52,posterior_al_valle,75.00055191349769,NO,OK
idahue,2025_2026,carmenere,1_septiembre,2025-09-01,2025-09-19,71.5460574196236,1283.5965276891986,-55.59380617139408,69,posterior_al_valle,75.00055191349769,NO,OK
keule,2025_2026,carmenere,15_julio,2025-07-15,2025-09-14,147.2026550016423,166.02899652618746,102.60337762536737,19,cercano_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (102.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,carmenere,1_agosto,2025-08-01,2025-09-14,111.16204409439969,166.02899652618746,66.56276671812478,36,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (66.6 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,carmenere,15_agosto,2025-08-15,2025-09-14,79.92844957883455,166.02899652618746,35.329172202559626,50,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (35.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
keule,2025_2026,carmenere,1_septiembre,2025-09-01,2025-09-14,36.565496662451544,166.02899652618746,-8.033780713823386,67,posterior_al_valle,75.00055191349769,NO,OK
los_acacios,2025_2026,carmenere,15_julio,2025-07-15,2025-09-01,160.68266281683498,1418.3836031118055,144.18629835261166,0,cercano_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (144.2 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,carmenere,1_agosto,2025-08-01,2025-09-01,111.27393324016245,1418.3836031118055,94.77756877593913,17,cercano_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (94.8 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,carmenere,15_agosto,2025-08-15,2025-09-01,55.54481731988063,1418.3836031118055,39.04845285565732,31,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (39.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
los_acacios,2025_2026,carmenere,1_septiembre,2025-09-01,2025-09-01,4.257259079364048,1418.3836031118055,-12.239105384859267,48,posterior_al_valle,75.00055191349769,NO,OK
lourdes,2025_2026,carmenere,15_julio,2025-07-15,2025-09-20,193.1567145872016,236.66593680595608,110.51671579147829,20,cercano_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (110.5 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,carmenere,1_agosto,2025-08-01,2025-09-20,150.48459815503088,236.66593680595608,67.8445993593076,37,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (67.8 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,carmenere,15_agosto,2025-08-15,2025-09-20,117.86558171232583,236.66593680595608,35.22558291660255,51,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (35.2 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
lourdes,2025_2026,carmenere,1_septiembre,2025-09-01,2025-09-20,66.81601982023575,236.66593680595608,-15.823978975487547,68,posterior_al_valle,75.00055191349769,NO,OK
nilahue,2025_2026,carmenere,15_julio,2025-07-15,2025-09-04,129.7771255490905,1260.6505201844432,110.98963712518389,21,cercano_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (111.0 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
nilahue,2025_2026,carmenere,1_agosto,2025-08-01,2025-09-04,87.0579589124139,1260.6505201844432,68.27047048850736,38,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (68.3 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
nilahue,2025_2026,carmenere,15_agosto,2025-08-15,2025-09-04,51.65414893325988,1260.6505201844432,32.86666050935331,52,posterior_al_valle,75.00055191349769,SI: Acumulación térmica previa a t0 (32.9 GDD acumulados desde biofix),acumulacion_termica_previa_a_t0
