tipo,fundo_normalizado,estacion,detalle,severidad
periodos_sin_cobertura,Idahue,Idahue,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Keule,Keule,2025-05-01 a 2025-05-17 (17d); 2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Los Acacios,"Los Acacios, Ovalle",2026-05-28 a 2026-05-31 (4d),media
periodos_sin_cobertura,Lourdes,"Pencahue, Pencahue",2026-05-28 a 2026-05-31 (4d),media
periodos_sin_cobertura,Mariposas,"San Clemente, San Clemente",2026-05-28 a 2026-05-31 (4d),media
periodos_sin_cobertura,Nilahue,Lolol Nilahue,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Palo Santo,"Liceo Jean Buchanan, Peumo",2026-05-28 a 2026-05-31 (4d),media
periodos_sin_cobertura,Peumo,"Liceo Jean Buchanan, Peumo",2026-05-28 a 2026-05-31 (4d),media
periodos_sin_cobertura,Quebrada Seca,Ovalle Quebrada Seca,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Quebrada de Agua,"San Clemente, San Clemente",2026-05-28 a 2026-05-31 (4d),media
periodos_sin_cobertura,Quinta Maipo,Isla De Maipo Tarapaca,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Rauco,Curico Cerrillo,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Rucahue,Idahue,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,San Adolfo,"La Platina, La Pintana",2026-05-28 a 2026-05-31 (4d),media
periodos_sin_cobertura,San Ignacio,Peralillo Calleuque,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Santa Isabel,"La Platina, La Pintana",2026-05-28 a 2026-05-31 (4d),media
periodos_sin_cobertura,Ucuquer,Ucuquer,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Villa Alegre,San Javier Mingre,2026-05-19 a 2026-05-31 (13d),media
periodos_sin_cobertura,Yungay,Peralillo Calleuque,2026-05-19 a 2026-05-31 (13d),media
estacion_candidata_insuficiente,Keule,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Keule,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Keule,Cauquenes El Encuentro,"cobertura=0.51%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Keule,Cauquenes El Encuentro,"cobertura=0.51%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Keule,Retiro Santa Teresa,"cobertura=9.6%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Keule,Retiro Santa Teresa,"cobertura=9.6%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Lourdes,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Lourdes,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Lourdes,Cauquenes El Encuentro,"cobertura=0.51%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Lourdes,Cauquenes El Encuentro,"cobertura=0.51%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Quinta Maipo,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=historica",media
estacion_candidata_insuficiente,Quinta Maipo,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=historica",media
estacion_candidata_insuficiente,San Ignacio,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,San Ignacio,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Ucuquer,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=historica_fuente_no_confirmada",media
estacion_candidata_insuficiente,Ucuquer,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=historica_fuente_no_confirmada",media
estacion_candidata_insuficiente,Villa Alegre,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=historica_fuente_no_confirmada",media
estacion_candidata_insuficiente,Villa Alegre,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=historica_fuente_no_confirmada",media
estacion_candidata_insuficiente,Villa Alegre,Retiro Santa Teresa,"cobertura=9.6%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Villa Alegre,Retiro Santa Teresa,"cobertura=9.6%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Villa Alegre,Cauquenes El Encuentro,"cobertura=0.51%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Villa Alegre,Cauquenes El Encuentro,"cobertura=0.51%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Yungay,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=proximidad",media
estacion_candidata_insuficiente,Yungay,Maule San Pedro,"cobertura=29.55%, completitud=100.0%, criterio=proximidad",media
