fundo_normalizado,estacion_recomendada,red,station_id,cobertura_%,calidad_global,distancia_km,estado,comentario_tecnico,temporada,periodo_inicio,periodo_fin,fuente_tabla,archivo,criterio_asignacion,origen_asignacion,score_confianza_0_100,requiere_validacion_manual,n_gaps,gaps,gap_bloqueante
Idahue,Idahue,ZENTRA,z6-28663,96.72,ALTA,2.42,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-19 a 2026-05-31 (13d) | 37 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\idahue_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\idahue_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\idahue_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\idahue_sauvignon_blanc_2025_2026.xlsx,2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\zentra\idahue\Idahue_z6-28663(z6-28663)-Configuration 1-1779121716.577247.csv,historica,historica,100.0,False,1,2026-05-19 a 2026-05-31,NO
Mariposas,"San Clemente, San Clemente",INIA/AGROMET,INIA-135,98.99,ALTA,,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d),2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\inia\san clemente\agrometeorologia-20260527154932.xlsx,historica,historica,100.0,False,1,2026-05-28 a 2026-05-31,NO
Keule,Keule,ZENTRA,A4100457,92.42,ALTA,0.87,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2025-05-01 a 2025-05-17 (17d); 2026-05-19 a 2026-05-31 (13d) | 26 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\keule_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\keule_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\keule_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\keule_sauvignon_blanc_2025_2026.xlsx,2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\zentra\keule\EMA (Riego)(A4100457)-Configuration 1-1779121611.359105.csv,historica,historica,100.0,False,2,2025-05-01 a 2025-05-17; 2026-05-19 a 2026-05-31,NO
Los Acacios,"Los Acacios, Ovalle",INIA/AGROMET,,98.99,ALTA,,OK,criterio=nombre | origen=inferida | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d) | 6 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\los_acacios_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\los_acacios_sauvignon_blanc_2025_2026.xlsx,2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\inia\los_acacios\agrometeorologia-20260527125846.xlsx,nombre,inferida,100.0,False,1,2026-05-28 a 2026-05-31,NO
Nilahue,Lolol Nilahue,Meteovid/datavid,66,96.72,ALTA,0.7,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-19 a 2026-05-31 (13d) | 25 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\nilahue_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\nilahue_sauvignon_blanc_2025_2026.xlsx,2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\datavid\lolol_nilahue\climate_hourly.csv,historica,historica,100.0,False,1,2026-05-19 a 2026-05-31,NO
Quebrada de Agua,"San Clemente, San Clemente",INIA/AGROMET,INIA-135,98.99,ALTA,,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d),2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\inia\san clemente\agrometeorologia-20260527154932.xlsx,historica,historica,100.0,False,1,2026-05-28 a 2026-05-31,NO
Quebrada Seca,Ovalle Quebrada Seca,Meteovid/datavid,64,96.72,ALTA,0.07,OK,criterio=nombre | origen=inferida | score=100.0 | gaps >3d: 2026-05-19 a 2026-05-31 (13d) | 5 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\qba_seca_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\qba_seca_sauvignon_blanc_2025_2026.xlsx,2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\datavid\ovalle_quebrada_seca\climate_hourly.csv,nombre,inferida,100.0,False,1,2026-05-19 a 2026-05-31,NO
Ucuquer,Ucuquer,ZENTRA,z6-28614,96.72,ALTA,3.93,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-19 a 2026-05-31 (13d) | 23 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\ucuquer_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\ucuquer_sauvignon_blanc_2025_2026.xlsx,2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\zentra\ucuquer\Ucuquer_z6-28614(z6-28614)-Configuration 1-1779122183.5219648.csv,historica,historica,100.0,False,1,2026-05-19 a 2026-05-31,NO
Lourdes,"Pencahue, Pencahue",INIA/AGROMET,,98.99,ALTA,,OK,criterio=manual_preferida | origen=manual | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d) | 38 candidato(s) secundario(s) reportados | merge fenologia-clima existente: data\prepared\phenology_climate\lourdes_cabernet_sauvignon_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_carmenere_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_chardonnay_2025_2026.xlsx; data\prepared\phenology_climate\lourdes_sauvignon_blanc_2025_2026.xlsx,2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\inia\lourdes\agrometeorologia-20260527125953.xlsx,manual_preferida,manual,100.0,False,1,2026-05-28 a 2026-05-31,NO
Peumo,"Liceo Jean Buchanan, Peumo",INIA/AGROMET,,98.99,ALTA,,OK,criterio=historica | origen=historica | score=100.0 | gaps >3d: 2026-05-28 a 2026-05-31 (4d) | 31 candidato(s) secundario(s) reportados,2025_2026,2025-05-01,2026-05-31,reports/climate/coverage/resumen_fundos.csv,data\raw\climate\inia\peumo\agrometeorologia-20260527110753.xlsx,historica,historica,100.0,False,1,2026-05-28 a 2026-05-31,NO
