identificacion,nombre,region,comuna,latitud,longitud,fechaUltimoRegistro
62,Traiguén - La Esperanza,La Araucanía,Traiguén,-38.21102,-72.6473,19-05-2026 12:00
57,Bulnes - Larqui,Ñuble,Bulnes,-36.71865,-72.35508,19-05-2026 13:00
66,Lolol - Nilahue,Libertador General Bernardo O'Higgins,Lolol,-34.69942,-71.76865,19-05-2026 12:00
26,Santa Cruz - Apalta 1,Libertador General Bernardo O'Higgins,Santa Cruz,-34.5939,-71.3024,19-05-2026 12:00
302,Santa Cruz - La Finca Apalta,Libertador General Bernardo O'Higgins,Santa Cruz,-34.61104,-71.27045,19-05-2026 00:00
56,Mulchén - Chumulco,Biobío,Mulchén,-37.75385,-72.29936,19-05-2026 13:00
50,Pencahue - Sur,Maule,Pencahue,-35.44522,-71.83436,19-05-2026 12:00
18,San Pedro - Trinidad,Metropolitana de Santiago,San Pedro,-34.023,-71.344,19-05-2026 12:00
24,San Fernando - Los Lingues,Libertador General Bernardo O'Higgins,San Fernando,-34.5022,-70.8946,19-05-2026 13:00
113,Nancagua - Los Aromos,Libertador General Bernardo O'Higgins,Nancagua,-34.65164,-71.21678,19-05-2026 12:00
64,Ovalle - Quebrada Seca,Coquimbo,Ovalle,-30.52726,-71.45012,19-05-2026 12:00
17,Paine - El Liguai,Metropolitana de Santiago,Paine,-33.84317,-70.61989,19-05-2026 12:00
60,Cauquenes - Keule,Maule,Cauquenes,-35.8631,-72.05086,19-05-2026 12:00
111,Cauquenes - El Durazno,Maule,Cauquenes,-35.75919,-72.06961,19-05-2026 12:00
55,Santo Domingo - Atalaya,Valparaiso,Santo Domingo,-33.73753,-71.63933,19-05-2026 12:00
112,Maule - San Pedro,Maule,Maule,-35.52789,-71.61478,25-08-2025 02:00
109,Curicó - Cerrillo,Maule,Curicó,-35.02397,-71.15139,19-05-2026 12:00
308,Casablanca - Santa Isabel,Valparaiso,Casablanca,-33.29294,-71.41518,19-05-2026 00:00
67,Navidad - Ucuquer,Libertador General Bernardo O'Higgins,Navidad,-33.97803,-71.69775,19-05-2026 12:00
110,Retiro - Santa Teresa,Maule,Retiro,-36.01878,-71.77264,07-06-2025 07:00
15,Isla de Maipo - Tarapacá,Metropolitana de Santiago,Isla de Maipo,-33.773,-70.931,19-05-2026 12:00
54,Retiro - Villaseca,Maule,Retiro,-35.88975,-71.85656,19-05-2026 11:00
307,Cauquenes - El Encuentro,Maule,Cauquenes,-35.89338,-72.03633,26-07-2025 04:00
37,Maule - Santa Margarita,Maule,Maule,-35.53842,-71.61492,19-05-2026 12:00
107,Nancagua - Puquillay,Libertador General Bernardo O'Higgins,Nancagua,-34.67993,-71.1308,19-05-2026 12:00
22,Requinoa - Altair,Libertador General Bernardo O'Higgins,Requínoa,-34.3411,-70.7278,19-05-2026 13:00
13,Buin - Alto Jahuel,Metropolitana de Santiago,Buin,-33.71878,-70.66931,19-05-2026 13:00
306,Cauquenes - San Francisco,Maule,Cauquenes,-36.06524,-72.4629,18-05-2026 22:00
38,Pencahue - Norte,Maule,Pencahue,-35.34784,-71.77317,19-05-2026 12:00
301,Marchigue - Arcangel,Libertador General Bernardo O'Higgins,Marchigüe,-34.34059,-71.65213,19-05-2026 00:00
65,San Vicente - Idahue,Libertador General Bernardo O'Higgins,San Vicente,-34.49054,-71.20247,19-05-2026 12:00
39,San Javier - Mingre,Maule,San Javier,-35.57132,-71.99786,19-05-2026 12:00
58,Quillota - Roca Fuerte,Valparaiso,Quillota,-32.89787,-71.36809,19-05-2026 12:00
304,Requinoa - Totihue,Libertador General Bernardo O'Higgins,Requínoa,-34.33721,-70.80092,18-05-2026 17:00
59,San Clemente - la Higuera,Maule,San Clemente,-35.46578,-71.49424,19-05-2026 12:00
31,Peralillo - Calleuque,Libertador General Bernardo O'Higgins,Peralillo,-34.39047,-71.44432,19-05-2026 13:00
36,Río Claro - La Reserva,Maule,Río Claro,-35.1516,-71.2984,19-05-2026 13:00
61,Nacimiento - Millapoa,Biobío,Nacimiento,-37.39316,-72.67649,10-10-2025 15:00
6,Cartagena - Lo Abarca,Valparaiso,Cartagena,-33.52779,-71.54218,19-05-2026 10:00
108,Retiro - Mantul,Maule,Retiro,-35.92984,-71.77489,19-05-2026 13:00
101,Ovalle - Limarí,Coquimbo,Ovalle,-30.71225,-71.35676,19-05-2026 13:00
102,Casablanca - 001,Valparaiso,Casablanca,-33.36532,-71.3067,06-05-2025 06:00
303,Quemchi - Añihue,Los Lagos,Quemchi,-42.323,-73.24497,19-05-2026 00:00
105,San Antonio - Leyda,Valparaiso,San Antonio,-33.67111,-71.53709,19-05-2026 12:00
310,San Vicente - Ajial,Libertador General Bernardo O'Higgins,San Vicente,-34.54909,-71.26323,19-05-2026 00:00
309,San Vicente - Almendro,Libertador General Bernardo O'Higgins,San Vicente,-34.54094,-71.21547,19-05-2026 00:00
311,Casablanca - 002,Valparaiso,Casablanca,-33.34789,-71.33806,19-05-2026 00:00
63,Futrono - Llasquenco,Los Ríos,Futrono,-40.1329,-72.31232,19-05-2026 12:00
201,Alhué - Polulo,Metropolitana de Santiago,Alhué,-34.028,-71.1429,
204,Santa Cruz - Apalta 2,Libertador General Bernardo O'Higgins,Santa Cruz,-34.6094,-71.2854,
206,Molina - Porvenir,Metropolitana de Santiago,Buin,-35.1725,-71.2755,
